model,seed,hhi,max_mean_weight,mean_turnover,top1,top2,top3
equal_weight,-,0.07142857142857142,0.07142857142857142,0.0,S&P 500 ETF 0.071,Fidelity Growth Fund 0.071,Apple 0.071
ppo,42,0.0714285714284257,0.0714285714284986,6.6357374509322765e-16,S&P 500 ETF 0.071,Fidelity Growth Fund 0.071,Apple 0.071
ppo,123,0.0714285714284257,0.0714285714284986,6.6357374509322765e-16,S&P 500 ETF 0.071,Fidelity Growth Fund 0.071,Apple 0.071
ppo,456,0.0714285714284257,0.0714285714284986,6.6357374509322765e-16,S&P 500 ETF 0.071,Fidelity Growth Fund 0.071,Apple 0.071
ppo,789,0.0714285714284257,0.0714285714284986,6.6357374509322765e-16,S&P 500 ETF 0.071,Fidelity Growth Fund 0.071,Apple 0.071
ppo,1011,0.0714285714284257,0.0714285714284986,6.6357374509322765e-16,S&P 500 ETF 0.071,Fidelity Growth Fund 0.071,Apple 0.071
sac,42,0.0736448182452424,0.1083317007526475,0.0508710445244378,Copper 0.108,Walmart 0.085,Gold 0.078
sac,123,0.0726170470768209,0.0899886849026357,0.0569464009099393,Fidelity Energy Portfolio 0.090,Microsoft 0.080,Silver 0.080
sac,456,0.0735980197381422,0.0968251029940294,0.0727512993531707,CASH 0.097,S&P 500 ETF 0.090,Copper 0.086
sac,789,0.0722853649624335,0.0840464386769231,0.0594464454254486,Fidelity Growth Fund 0.084,Walmart 0.081,Microsoft 0.080
sac,1011,0.0740643812501763,0.1033864389813903,0.0504608037271815,Fidelity Growth Fund 0.103,Amazon 0.101,Walmart 0.073
a2c,42,0.1213574749391714,0.2377623520943814,1.1526015888346637,CASH 0.238,Nvidia 0.143,Apple 0.129
a2c,123,0.118434602534626,0.2182536781563882,1.148551024495314,CASH 0.218,Nvidia 0.187,Apple 0.077
a2c,456,0.1230124731077482,0.1960370743968439,1.1022519636764716,CASH 0.196,Nvidia 0.173,Amazon 0.153
a2c,789,0.1302770875566556,0.2122260085665817,1.1613240874589947,Nvidia 0.212,CASH 0.207,Apple 0.129
a2c,1011,0.1050196177285138,0.1700523259671459,1.128887037621619,Apple 0.170,Nvidia 0.158,Microsoft 0.114
td3bc,42,0.0838091199654917,0.1236062836515558,0.1287471151190175,Nvidia 0.124,Apple 0.120,CASH 0.117
td3bc,123,0.0857410702274436,0.1317953576266908,0.1476139146352864,CASH 0.132,Nvidia 0.126,Amazon 0.125
td3bc,456,0.087892754149088,0.1801611171400179,0.1181188396012178,Apple 0.180,CASH 0.102,Silver 0.083
td3bc,789,0.0820355406004935,0.1265120888917764,0.1558627744841776,Nvidia 0.127,Silver 0.117,Apple 0.103
td3bc,1011,0.0931827514834632,0.1951888420660644,0.1228921362990022,CASH 0.195,Apple 0.111,Nvidia 0.099
iql,42,0.0841171979375841,0.1605004386552579,0.1202232391612105,CASH 0.161,Apple 0.113,Copper 0.084
iql,123,0.0851076315488544,0.1643726095191482,0.1128800582668916,CASH 0.164,Amazon 0.108,Apple 0.095
iql,456,0.0816030926381789,0.1439185551027157,0.1376318348779873,Amazon 0.144,Apple 0.107,CASH 0.103
iql,789,0.0835089842554649,0.1592321162264879,0.1377869028037316,CASH 0.159,Nvidia 0.094,Amazon 0.093
iql,1011,0.0870810910108009,0.1734490275873193,0.1284951336789326,CASH 0.173,Nvidia 0.113,Amazon 0.085
cql,42,0.2019029657558644,0.2649224997379331,0.2310150602814617,Amazon 0.265,Nvidia 0.265,Apple 0.191
cql,123,0.2222807544726919,0.3197034904692259,0.1983935375259538,Nvidia 0.320,Apple 0.240,Amazon 0.213
cql,456,0.2252410292062737,0.2987512388344809,0.2233251033783369,Nvidia 0.299,Amazon 0.298,Apple 0.172
cql,789,0.2825555006952935,0.4248726250188754,0.1531681032312289,Nvidia 0.425,Amazon 0.250,Apple 0.161
cql,1011,0.2285666462758916,0.2984930811229758,0.1681589384566695,Amazon 0.298,Nvidia 0.262,Apple 0.233
dt,42,0.084598573273996,0.1402736489500514,0.1360314530336956,Nvidia 0.140,Apple 0.122,Amazon 0.117
dt,123,0.0715078319012038,0.0763219266009946,0.0426471881278515,Walmart 0.076,Silver 0.074,JP Morgan Chase 0.074
dt,456,0.071535851293542,0.0778701936400474,0.0415374520877512,JP Morgan Chase 0.078,CASH 0.076,Nvidia 0.073
dt,789,0.0715557373609085,0.0747560423096224,0.0433036953783764,Nvidia 0.075,Microsoft 0.075,Apple 0.075
dt,1011,0.0716083710763534,0.0794485954544107,0.0436969936237462,Silver 0.079,SYNTH_BOND_10Y 0.075,Gold 0.075
bc,42,0.0846437957194616,0.1433679752777272,0.1231329433585049,Nvidia 0.143,Apple 0.122,Amazon 0.114
bc,123,0.0715110441430518,0.0761093039162826,0.0427592343456573,Walmart 0.076,Silver 0.074,JP Morgan Chase 0.074
bc,456,0.0715269100549507,0.0768218421418251,0.0415656893282675,JP Morgan Chase 0.077,CASH 0.076,Fidelity Growth Fund 0.074
bc,789,0.0715624818932516,0.0756887701237322,0.0433749066519422,Microsoft 0.076,Amazon 0.075,Apple 0.075
bc,1011,0.0716329559612216,0.0793974942240904,0.0439741648267486,Silver 0.079,SYNTH_BOND_10Y 0.075,S&P 500 ETF 0.075
