strategy,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,fold,period
buy_and_hold,0.13853905833498437,0.06702345725620495,0.10861420051051321,0.4131407879876412,0.61022516251677,-0.10811732035293731,0.6199141547109577,-0.010801643496169952,-0.014880535605452709,1.9837526683059222e-15,9.998113448261847e-13,0,2014-01-01_2015-12-31
equal_weight,0.13853905833498437,0.06702345725620495,0.10861420051051321,0.4131407879876412,0.61022516251677,-0.10811732035293731,0.6199141547109577,-0.010801643496169952,-0.014880535605452709,1.9837526683059222e-15,9.998113448261847e-13,0,2014-01-01_2015-12-31
mean_variance,0.15447281153511727,0.0744639647448011,0.11059965415559896,0.4685539043280275,0.6873039702541457,-0.1044219363031838,0.7131065308787107,-0.011192385748918666,-0.015188187482854072,0.003254588266621329,1.6403124863771497,0,2014-01-01_2015-12-31
min_variance,0.13703969282220085,0.066320633216014,0.10830833297824884,0.40822401130795233,0.603054849255977,-0.10804649289753789,0.6138156957940953,-0.010801643496169952,-0.014844344770992354,5.096232858694526e-05,0.02568501360782041,0,2014-01-01_2015-12-31
risk_parity,0.004830302236524586,0.002412241663341197,0.029357892738196407,-0.5991800323689433,-0.8390043702571848,-0.0435087402254787,0.05544269153370221,-0.0017475500067262975,-0.0048317633094926826,0.003716082660746129,1.872905661016049,0,2014-01-01_2015-12-31
momentum,0.24554653960073924,0.11604056360005988,0.1430903677310041,0.6274860567780807,0.961151602212688,-0.10541563661535445,1.100790806049715,-0.014401578789832257,-0.019731954916029852,0.16354875283430553,82.42857142848999,0,2014-01-01_2015-12-31
buy_and_hold,0.6212270845619099,0.2738858616238571,0.09242271071262656,2.402785645022605,3.2900471619511036,-0.0635752592087763,4.3080573328759355,-0.008917273167490391,-0.013225359019448527,1.9876965105888363e-15,9.998113448261847e-13,1,2016-01-01_2017-12-31
equal_weight,0.6212270845619099,0.2738858616238571,0.09242271071262656,2.402785645022605,3.2900471619511036,-0.0635752592087763,4.3080573328759355,-0.008917273167490391,-0.013225359019448527,1.9876965105888363e-15,9.998113448261847e-13,1,2016-01-01_2017-12-31
mean_variance,0.652645639328598,0.2861948001726433,0.09716817168612055,2.3844031220014723,3.2969359157676634,-0.0635752592087763,4.501669418803334,-0.009659316492929062,-0.014017563165548214,0.0032404282326354127,1.6299354010156126,1,2016-01-01_2017-12-31
min_variance,0.6198810326223596,0.27335586752402286,0.09227862881487765,2.4020277896288196,3.287025682832868,-0.0635752592087763,4.29972084936914,-0.008837782693445926,-0.013203982169524701,4.754462777341803e-05,0.02391494777002927,1,2016-01-01_2017-12-31
